,Bacillus,Pathogene,B_Biofilm_Height,B_Biofilm_Roughness,B_Biofilm_SubstratumCoverage,B_Biofilm_Volume,P_Biofilm_Height,P_Biofilm_Volume,P_Biofilm_SubstratumCoverage,Modele,Score
390,11457,S.au,119.9265,0.41017,0.37843,594974.5381,19.6327,313792.4036,0.76438,III,0.964174346
391,11457,S.au,52.388,0.36317,0.71774,450412.2838,17.4149,65229.6257,0.29538,III,0.945928843
392,11457,S.au,71.1452,0.21812,0.65473,687749.1252,16.9475,252159.0783,0.70733,III,0.946372465
393,B18,S.au,31.7064,,,63791.7988,19.1868,51222.4905,0.32853,III,0.538054882
394,B18,S.au,54.7591,,,48454.8054,20.2319,270791.1793,0.68911,III,0.479390644
395,B18,S.au,17.153,,,67294.4537,35.2458,58993.235,0.28762,III,0.437846884
396,B1,S.au,95.0099,,,52094.9523,16.4262,14370.3589,0.088074,III,0.648800352
397,B1,S.au,63.2118,,,64244.863,17.4149,65229.6257,0.29538,III,0.743744713
398,B1,S.au,52.0671,,,76980.433,19.6327,313792.4036,0.76438,III,0.779346133
399,12832,S.au,42.3834,0.33703,0.7431,401064.6752,19.9732,303964.2707,0.76639,III,0.825724484
400,12832,S.au,31.0436,0.28626,0.81687,469256.4994,13.919,165086.5558,0.63756,III,0.821875808
